,fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
0,501,0,"[1492.5728759765625, 1130.0555419921875, 1649.5806884765625, 1296.165283203125]",0.25030240416526794,52,0.1285224378470834
1,513,0,"[1437.4718017578125, 1194.5670166015625, 1603.6417236328125, 1317.2095947265625]",0.3126043975353241,621,0.0742295749687664
2,522,0,"[1389.4820556640625, 1199.5059814453125, 1550.5052490234375, 1330.6787109375]",0.46437275409698486,521,0.995008105969803
3,539,0,"[1283.5455322265625, 1256.2325439453125, 1456.244384765625, 1363.8450927734375]",0.2702696919441223,EZ!,0.199461749899189
4,540,0,"[1279.4393310546875, 1256.19091796875, 1457.646728515625, 1359.744873046875]",0.3485923111438751,NJLEI,0.04678053862671958
5,541,0,"[1259.2884521484375, 1249.269287109375, 1455.547119140625, 1367.4583740234375]",0.3511177599430084,521,0.6592550494325088
6,545,0,"[1209.6016845703125, 1252.1060791015625, 1437.274169921875, 1358.9481201171875]",0.28805288672447205,52,0.99679564789034
7,546,0,"[1211.76171875, 1259.862060546875, 1425.2596435546875, 1366.8531494140625]",0.2719602584838867,521,0.6091533899307251
8,562,0,"[1131.7764892578125, 1268.4649658203125, 1343.7686767578125, 1388.757568359375]",0.2693837881088257,KJI521,0.4021908331372204
9,563,0,"[1111.7835693359375, 1268.8795166015625, 1322.5203857421875, 1390.0986328125]",0.4229556620121002,521,0.9999645549437236
10,565,0,"[1115.306884765625, 1278.2135009765625, 1322.9466552734375, 1386.78515625]",0.30322057008743286,MJLEZY,0.10124128355032119
11,567,0,"[1116.36083984375, 1288.8533935546875, 1289.009521484375, 1378.8671875]",0.2925123870372772,LE,0.10628287297691877
12,572,0,"[1109.1639404296875, 1292.337890625, 1304.32470703125, 1388.414794921875]",0.2541123628616333,K_,0.028354054975343827
13,575,0,"[1082.3433837890625, 1292.8466796875, 1289.7635498046875, 1398.916015625]",0.4295167326927185,M;_5Z1,0.14889992603477212
14,576,0,"[1071.9971923828125, 1294.411865234375, 1299.9854736328125, 1401.1048583984375]",0.45572537183761597,MJ_EL1,0.04264010091245692
15,577,0,"[1087.7000732421875, 1294.7388916015625, 1306.2379150390625, 1409.4852294921875]",0.4514252543449402,HLSZ1,0.025803042647817596
16,579,0,"[1077.69287109375, 1300.3275146484375, 1278.9093017578125, 1401.760986328125]",0.4054754078388214,E21,0.3555013183165968
17,580,0,"[1075.93359375, 1301.712890625, 1284.270751953125, 1400.2532958984375]",0.3752559423446655,521,0.9994377855427865
18,581,0,"[1082.704833984375, 1309.9483642578125, 1274.559814453125, 1401.161865234375]",0.33171215653419495,321,0.21096897515684376
19,582,0,"[1055.0042724609375, 1305.4376220703125, 1271.3170166015625, 1408.2608642578125]",0.2747994661331177,E2',0.15340662002563477
20,583,0,"[1083.9283447265625, 1313.600830078125, 1263.5244140625, 1399.189453125]",0.32621586322784424,521,0.9786191861949824
21,584,0,"[1076.9254150390625, 1306.9033203125, 1264.9798583984375, 1397.843994140625]",0.30106136202812195,KJ_521,0.1756763591730785
22,585,0,"[1071.60986328125, 1316.4071044921875, 1265.5284423828125, 1401.8946533203125]",0.3317960798740387,VI521F,0.164867069904471
23,586,0,"[1058.507568359375, 1310.436767578125, 1261.5426025390625, 1413.2498779296875]",0.3372650146484375,KJ_521,0.10709665095855776
24,588,0,"[1055.853515625, 1316.92529296875, 1254.440185546875, 1422.570556640625]",0.25927963852882385,KY,0.03383498831553152
25,589,0,"[1044.10546875, 1319.663818359375, 1260.2935791015625, 1420.6842041015625]",0.44660431146621704,521,0.5569318937270584
26,590,0,"[1049.2470703125, 1320.708984375, 1277.9952392578125, 1425.39013671875]",0.38795241713523865,52,0.991962059660333
27,591,0,"[1049.176513671875, 1320.21240234375, 1260.406982421875, 1415.2232666015625]",0.3224322199821472,KEZ',0.14532268047332764
28,595,0,"[1027.4898681640625, 1325.86083984375, 1244.98291015625, 1438.8603515625]",0.33659061789512634,K_521,0.4389981049123677
29,598,0,"[1030.6868896484375, 1344.575439453125, 1260.6322021484375, 1450.2027587890625]",0.27157193422317505,521,0.7418563961982727
30,599,0,"[1027.9857177734375, 1338.988037109375, 1260.191650390625, 1442.4781494140625]",0.3925592005252838,V3Z521,0.0163203111088423
