fr_number,id,lp_bbox,lp_bbox_score,lp,lp_score
0,1,1087.207275390625 650.6656494140625 1172.074462890625 684.0155639648438,0.37963953614234924,0JO6(T,0.059755803327269034
1,1,1087.154541015625 650.6015014648438 1172.1474609375 684.01220703125,0.37920549511909485,LJO6(@,0.03198182021154711
2,1,1088.3515625 658.1696166992188 1182.566162109375 688.99609375,0.4338022768497467,JOGDD,0.8684433325782621
3,1,1088.3790283203125 658.1762084960938 1182.6409912109375 689.0166015625,0.43409180641174316,JOGDD,0.3356222149443762
4,1,1136.0870361328125 1022.876708984375 1275.9366455078125 1060.6397705078125,0.4394929111003876,NF65,0.1806623339653015
5,1,1136.0281982421875 1022.8931274414062 1275.925048828125 1060.62841796875,0.44030919671058655,NF65,0.1806623339653015
6,1,1085.5946044921875 656.86572265625 1179.919921875 692.3074951171875,0.43479135632514954,JOSLDD,0.3524884224850265
7,1,1085.588623046875 656.8721313476562 1179.9000244140625 692.3051147460938,0.43485522270202637,JOSLDD,0.3524884224850265
8,1,1088.205322265625 661.0493774414062 1176.4632568359375 696.3857421875,0.4107937812805176,JLD,0.10500503331422806
9,1,1088.2276611328125 661.033447265625 1176.501953125 696.3659057617188,0.40953484177589417,JLD,0.10994935780763626
10,1,1149.511474609375 1029.1265869140625 1273.531005859375 1069.176025390625,0.4913914203643799,AFES,0.38441920280456543
11,1,1149.5328369140625 1029.1427001953125 1273.61328125 1069.1817626953125,0.49247393012046814,AFES,0.38441920280456543
12,1,1145.1414794921875 1032.0706787109375 1280.816650390625 1070.28271484375,0.5390259027481079,AFE5,0.29551368951797485
13,1,1145.1019287109375 1032.0740966796875 1280.7608642578125 1070.28515625,0.5392256379127502,AFE5,0.29551368951797485
14,1,1145.1700439453125 1037.5938720703125 1275.3656005859375 1078.1221923828125,0.4615625739097595,NF65,0.5081185698509216
15,1,1145.2032470703125 1037.5675048828125 1275.391357421875 1078.1138916015625,0.46214213967323303,NF65,0.5081185698509216
16,1,1088.6778564453125 668.3784790039062 1182.719482421875 700.2067260742188,0.4929519593715668,JOTD,0.047802536550678176
17,1,1086.7276611328125 669.2958068847656 1182.7763671875 702.3545227050781,0,0,0
18,1,1084.7774658203125 670.213134765625 1182.833251953125 704.5023193359375,0.44117075204849243,JOSD,0.11891492854664198
19,1,1084.776123046875 670.1949462890625 1182.7708740234375 704.4802856445312,0.4412878155708313,JOSD,0.11891492854664198
20,1,1141.7645263671875 1049.1832275390625 1287.6275634765625 1095.0572509765625,0.3702167272567749,AF65V,0.17651810215636227
21,1,1141.74853515625 1049.1744384765625 1287.550048828125 1095.0369873046875,0.3692269027233124,AF65V,0.17651810215636227
22,1,1091.342041015625 674.6607055664062 1189.08056640625 705.9844360351562,0.33679887652397156,JOSID,0.1779433679450349
23,1,1091.282958984375 674.6685791015625 1189.1187744140625 706.023193359375,0.33864107728004456,JOSD,0.46619360677970356
24,1,1104.7791748046875 679.3014526367188 1194.3001708984375 705.8309326171875,0.3624809980392456,J06[PD,0.18316451173155873
25,1,1104.8594970703125 679.3023071289062 1194.3265380859375 705.8344116210938,0.3618662655353546,J06[PD,0.18316451173155873
26,1,1097.5595703125 677.9464111328125 1188.42578125 709.0192260742188,0.4477931261062622,0JO6EPD,0.2731701660152841
27,1,1097.5216064453125 677.9282836914062 1188.3824462890625 708.9785766601562,0.4470663368701935,0JO6EPD,0.25875343231936654
28,1,1095.164306640625 678.09814453125 1191.13037109375 709.6548461914062,0.44061407446861267,LJOG@PP,0.14653081131535248
29,1,1095.142822265625 678.1072998046875 1191.1253662109375 709.6194458007812,0.439309686422348,LJO@PD,0.1972531688585697
30,1,1097.026123046875 681.130615234375 1191.96142578125 713.1972045898438,0.4568527638912201,JO6(PPD,0.21392303969177415
31,1,1096.9825439453125 681.1207885742188 1191.873046875 713.1807861328125,0.45649874210357666,JOGEPD,0.10889430624143882
32,1,1097.122802734375 683.1152954101562 1187.1959228515625 716.691650390625,0.4790938198566437,JOBED,0.2749920043296047
33,1,1097.122314453125 683.1272583007812 1187.1431884765625 716.685302734375,0.478361040353775,JOBED,0.2749920043296047
34,1,1097.15234375 687.56298828125 1188.445068359375 720.253173828125,0.418081134557724,JOGED@,0.07467823507257519
35,1,1126.4527587890625 885.7179565429688 1242.7086791992188 922.96875,0,0,0
36,1,1155.753173828125 1083.8729248046875 1296.9722900390625 1125.684326171875,0.5107922554016113,AF65,0.4687937161413387
37,1,1155.2791748046875 1083.8668212890625 1296.917724609375 1125.726806640625,0.5136427283287048,4F65,0.41793835163116455
38,1,1096.3209228515625 689.3882446289062 1190.92236328125 721.5674438476562,0.5130468606948853,JOG@D,0.1274308485896622
39,1,1096.3406982421875 689.3889770507812 1190.948974609375 721.5704345703125,0.5133447051048279,JOG@D,0.1274308485896622
40,1,1158.50146484375 1090.349365234375 1301.2713623046875 1133.8843994140625,0.47590792179107666,4F65,0.4437295198440552
41,1,1158.5057373046875 1090.3524169921875 1301.2550048828125 1133.892822265625,0.47599974274635315,4F65,0.4437295198440552
42,1,1092.667724609375 691.648193359375 1188.8494873046875 727.3609619140625,0.4718703329563141,JO5EPD,0.1436262930629576
