fr_number,v_id,v_bbox,lp_bbox,lp_bbox_score,lp,lp_score
3,335,52.46370762631457 889.4165973217426 459.9118170485277 1193.525671164492,179.86192321777344 1115.534423828125 314.96685791015625 1162.141357421875,0.276813268661499,MASAKG,0.14279081176020111
4,335,52.3381544516138 891.3567648282653 459.8593987010945 1194.3554808796432,179.75416564941406 1115.5677490234375 314.98492431640625 1162.136962890625,0.27522966265678406,MASAKG,0.19734529983307803
0,337,190.14122009277344 602.5069580078125 584.4028930664062 950.6053466796875,320.1324157714844 831.0140380859375 441.84515380859375 863.1741943359375,0.5219242572784424,4K64DMY,0.5474253833264314
1,337,186.26713012762434 603.658427991978 582.1530372581217 953.8347257130779,319.1576232910156 833.2955322265625 437.59967041015625 866.1586303710938,0.5352706909179688,AK64MV,0.46032173671922755
2,337,186.26764208643314 603.6857669183738 582.0309321514771 954.0824348324353,319.1128234863281 833.2969360351562 437.6172790527344 866.1683349609375,0.5356457233428955,AK64MV,0.43894390136035055
3,337,182.95695549117693 605.0036633544402 578.1021783690986 956.6688295309453,317.9410400390625 834.4157104492188 436.4497985839844 874.3718872070312,0.5173464417457581,AK64@HY,0.33945883107151237
4,337,182.31150749615907 605.1564868727024 576.9481876289346 957.4825317697536,317.92974853515625 834.4125366210938 436.4442443847656 874.39453125,0.5176776647567749,AK64@HY,0.33945883107151237
5,337,182.5210601281548 605.9130819548568 576.2538814779446 958.8534530282741,316.25457763671875 835.8973388671875 438.45770263671875 877.1475830078125,0.508170485496521,AR6ZDMV,0.23892568786968957
6,337,182.83880927008482 606.0141956197363 575.923571013288 959.3910637094534,316.25408935546875 835.8944702148438 438.4482421875 877.1465454101562,0.508094310760498,AR6ZDMV,0.23892568786968957
7,337,182.04175019108223 608.5579852174882 575.6630034735555 962.570263919272,314.4529724121094 839.3495483398438 437.5079345703125 879.143798828125,0.5690538883209229,AR64DNY,0.5147342936980895
8,337,181.62745743643734 609.3311020662597 575.6153716493311 963.7411934511781,314.48046875 839.3573608398438 437.5159912109375 879.1345825195312,0.5686471462249756,AR64DNY,0.5147342936980895
9,337,184.49708528963168 610.6914110960194 577.125080969977 965.6250480286348,315.8998718261719 841.4850463867188 435.03076171875 879.7708740234375,0.5992093086242676,AIKS4DHV,0.17121027839680789
10,337,185.5940675843438 611.0181792250421 577.3789391759144 966.3484077041053,315.8999328613281 841.4841918945312 435.0139465332031 879.7728271484375,0.5993271470069885,AIKS4DKV,0.17967548696186747
11,337,184.70155908168354 612.586618076723 575.441976787004 967.6930887494182,314.05035400390625 843.7108154296875 434.1917724609375 880.9284057617188,0.6206281185150146,AKBS@MW,0.15998501663097184
12,337,184.5241118714805 613.1162654858789 574.5521946109301 968.0639048595411,314.056396484375 843.7163696289062 434.18017578125 880.9259643554688,0.6205242276191711,AKBS@MW,0.15998501663097184
13,337,181.96396435692523 615.0673021105692 572.2738264353166 969.6930147358294,312.03216552734375 848.3400268554688 436.7036437988281 883.2953491210938,0.6023590564727783,KRG+DMV,0.11786400367240235
14,337,180.86469389047187 615.8592283351784 571.3892493190322 970.2430803849479,312.1099548339844 848.3595581054688 436.55780029296875 883.249267578125,0.6026914715766907,KREDMV,0.31765738265206916
